1250	1.0000	2.0567	2.3723	3.5266	4.5366	6.9709	7.0895	8.1813	9.1102	9.9612	11.9007	12.6790	14.6595	15.5453	15.9819	16.7760	18.4939	20.4311	22.4284	23.2173	24.1432	24.9225	25.7071	25.9475	27.3090	27.5948	29.0427	29.3538	31.1476	32.4900	32.9699	33.0669	33.0722	33.0996	33.1017	33.1365	33.1597	33.1966	33.2620	33.2862	33.3126	33.3685	33.3885	33.4465	33.4539	33.4592	33.4750	33.4866	33.4971	33.5056	33.5214	33.5256	33.5404	33.5488	33.5551	33.5615	33.5720	33.5857	33.5984	33.6100	33.6131	33.6163	33.6226	33.6269
1300	1.0000	2.0631	2.3805	3.5435	4.5602	7.0103	7.1301	8.2326	9.1725	10.0361	12.0047	12.7964	14.8098	15.7112	16.1563	16.9676	18.7212	20.6993	22.7430	23.5511	24.5017	25.3016	26.1079	26.3550	27.7575	28.0519	29.5459	29.8667	31.7175	33.1043	33.6004	33.7013	33.7069	33.7378	33.7403	33.7794	33.8059	33.8481	33.9231	33.9503	33.9805	34.0448	34.0681	34.1343	34.1431	34.1494	34.1684	34.1816	34.1942	34.2037	34.2219	34.2270	34.2440	34.2547	34.2623	34.2686	34.2818	34.2982	34.3121	34.3272	34.3304	34.3348	34.3411	34.3461
1350	1.0000	2.0690	2.3880	3.5593	4.5820	7.0473	7.1681	8.2808	9.2301	10.1064	12.1025	12.9058	14.9500	15.8664	16.3191	17.1463	18.9347	20.9519	23.0388	23.8651	24.8388	25.6582	26.4859	26.7397	28.1808	28.4837	30.0213	30.3511	32.2563	33.6848	34.1966	34.3014	34.3079	34.3426	34.3448	34.3891	34.4191	34.4665	34.5507	34.5816	34.6164	34.6889	34.7158	34.7914	34.8014	34.8088	34.8301	34.8453	34.8601	34.8710	34.8927	34.8983	34.9179	34.9305	34.9392	34.9470	34.9618	34.9809	34.9974	35.0148	35.0187	35.0239	35.0317	35.0374
1400	1.0000	2.0746	2.3951	3.5742	4.6025	7.0819	7.2035	8.3258	9.2840	10.1720	12.1940	13.0084	15.0824	16.0120	16.4725	17.3149	19.1355	21.1898	23.3180	24.1614	25.1567	25.9953	26.8424	27.1027	28.5813	28.8920	30.4707	30.8090	32.7665	34.2360	34.7605	34.8695	34.8764	34.9172	34.9172	34.9683	35.0024	35.0535	35.1489	35.1829	35.2204	35.3055	35.3328	35.4179	35.4316	35.4384	35.4656	35.4827	35.4997	35.5099	35.5338	35.5406	35.5644	35.5780	35.5883	35.5985	35.6155	35.6359	35.6564	35.6768	35.6802	35.6870	35.6973	35.7041
1450	1.0000	2.0796	2.4016	3.5878	4.6218	7.1143	7.2362	8.3678	9.3346	10.2335	12.2797	13.1045	15.2062	16.1490	16.6163	17.4727	19.3243	21.4134	23.5809	24.4402	25.4562	26.3129	27.1788	27.4451	28.9591	29.2772	30.8951	31.2402	33.2483	34.7551	35.2954	35.4094	35.4154	35.4604	35.4634	35.5175	35.5535	35.6135	35.7186	35.7546	35.7996	35.8897	35.9257	36.0187	36.0337	36.0427	36.0698	36.0908	36.1088	36.1238	36.1508	36.1598	36.1838	36.2018	36.2108	36.2228	36.2408	36.2679	36.2889	36.3129	36.3159	36.3249	36.3339	36.3429
1500	1.0000	2.0844	2.4077	3.6005	4.6395	7.1445	7.2672	8.4072	9.3821	10.2913	12.3605	13.1950	15.3231	16.2782	16.7523	17.6221	19.5027	21.6249	23.8294	24.7040	25.7395	26.6134	27.4974	27.7695	29.3170	29.6434	31.2971	31.6531	33.7070	35.2519	35.8051	35.9198	35.9287	35.9758	35.9787	36.0405	36.0787	36.1435	36.2612	36.3024	36.3495	36.4524	36.4907	36.5966	36.6113	36.6202	36.6525	36.6731	36.6967	36.7114	36.7438	36.7526	36.7791	36.7997	36.8114	36.8232	36.8468	36.8732	36.8997	36.9262	36.9321	36.9380	36.9497	36.9615
1550	1.0000	2.0889	2.4135	3.6127	4.6565	7.1732	7.2966	8.4444	9.4272	10.3457	12.4369	13.2806	15.4335	16.4004	16.8806	17.7632	19.6718	21.8253	24.0649	24.9545	26.0085	26.8987	27.7998	28.0774	29.6571	29.9895	31.6812	32.0431	34.1454	35.7229	36.2890	36.4067	36.4163	36.4671	36.4703	36.5371	36.5816	36.6516	36.7788	36.8265	36.8774	36.9887	37.0333	37.1478	37.1637	37.1764	37.2114	37.2368	37.2591	37.2782	37.3131	37.3227	37.3545	37.3768	37.3895	37.4022	37.4276	37.4594	37.4881	37.5167	37.5231	37.5326	37.5453	37.5580
1600	1.0000	2.0930	2.4188	3.6238	4.6722	7.1994	7.3235	8.4788	9.4688	10.3966	12.5081	13.3608	15.5373	16.5152	17.0013	17.8961	19.8308	22.0141	24.2872	25.1902	26.2621	27.1678	28.0852	28.3679	29.9786	30.3173	32.0434	32.4118	34.5571	36.1678	36.7475	36.8697	36.8802	36.9351	36.9385	37.0103	37.0588	37.1363	37.2742	37.3250	37.3821	37.5043	37.5502	37.6795	37.6946	37.7096	37.7472	37.7735	37.7998	37.8224	37.8600	37.8713	37.9089	37.9314	37.9465	37.9615	37.9878	38.0254	38.0555	38.0893	38.0968	38.1044	38.1194	38.1344
1650	1.0000	2.0969	2.4238	3.6345	4.6870	7.2249	7.3494	8.5118	9.5086	10.4451	12.5758	13.4370	15.6357	16.6243	17.1162	18.0223	19.9821	22.1935	24.4989	25.4151	26.5037	27.4242	28.3573	28.6450	30.2853	30.6304	32.3890	32.7645	34.9512	36.5939	37.1858	37.3108	37.3224	37.3813	37.3856	37.4628	37.5154	37.5994	37.7491	37.8036	37.8659	37.9991	38.0489	38.1888	38.2086	38.2226	38.2651	38.2955	38.3245	38.3462	38.3897	38.4008	38.4408	38.4664	38.4833	38.4992	38.5301	38.5697	38.6045	38.6407	38.6494	38.6600	38.6774	38.6913
1700	1.0000	2.1007	2.4286	3.6446	4.7012	7.2488	7.3739	8.5433	9.5467	10.4913	12.6406	13.5096	15.7299	16.7280	17.2257	18.1428	20.1263	22.3653	24.7006	25.6292	26.7343	27.6688	28.6167	28.9097	30.5781	30.9286	32.7195	33.1014	35.3284	37.0015	37.6049	37.7326	37.7453	37.8089	37.8129	37.8959	37.9534	38.0437	38.2049	38.2638	38.3313	38.4758	38.5294	38.6819	38.7026	38.7187	38.7648	38.7983	38.8297	38.8531	38.9013	38.9133	38.9575	38.9856	39.0043	39.0210	39.0558	39.0993	39.1374	39.1776	39.1869	39.1990	39.2184	39.2338
